#FASTQ	SAMPLEID	DATASET	url
ERR188354_1.fastq.gz	NA12775	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188354/ERR188354_1.fastq.gz
ERR188354_2.fastq.gz	NA12775	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188354/ERR188354_2.fastq.gz
ERR188371_1.fastq.gz	NA11920	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188371/ERR188371_1.fastq.gz
ERR188371_2.fastq.gz	NA11920	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188371/ERR188371_2.fastq.gz
ERR188376_1.fastq.gz	NA07037	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188376/ERR188376_1.fastq.gz
ERR188376_2.fastq.gz	NA07037	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188376/ERR188376_2.fastq.gz
ERR188377_1.fastq.gz	NA12045	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188377/ERR188377_1.fastq.gz
ERR188377_2.fastq.gz	NA12045	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188377/ERR188377_2.fastq.gz
ERR188388_1.fastq.gz	NA12341	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188388/ERR188388_1.fastq.gz
ERR188388_2.fastq.gz	NA12341	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188388/ERR188388_2.fastq.gz
ERR188389_1.fastq.gz	NA10851	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188389/ERR188389_1.fastq.gz
ERR188389_2.fastq.gz	NA10851	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188389/ERR188389_2.fastq.gz
ERR188396_1.fastq.gz	NA12383	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188396/ERR188396_1.fastq.gz
ERR188396_2.fastq.gz	NA12383	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188396/ERR188396_2.fastq.gz
ERR188404_1.fastq.gz	NA12750	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188404/ERR188404_1.fastq.gz
ERR188404_2.fastq.gz	NA12750	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188404/ERR188404_2.fastq.gz
ERR188410_1.fastq.gz	NA12156	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188410/ERR188410_1.fastq.gz
ERR188410_2.fastq.gz	NA12156	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188410/ERR188410_2.fastq.gz
ERR188413_1.fastq.gz	NA12890	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188413/ERR188413_1.fastq.gz
ERR188413_2.fastq.gz	NA12890	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188413/ERR188413_2.fastq.gz
ERR188414_1.fastq.gz	NA12043	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188414/ERR188414_1.fastq.gz
ERR188414_2.fastq.gz	NA12043	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188414/ERR188414_2.fastq.gz
ERR188415_1.fastq.gz	NA12058	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188415/ERR188415_1.fastq.gz
ERR188415_2.fastq.gz	NA12058	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188415/ERR188415_2.fastq.gz
ERR188420_1.fastq.gz	NA12763	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188420/ERR188420_1.fastq.gz
ERR188420_2.fastq.gz	NA12763	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188420/ERR188420_2.fastq.gz
ERR188426_1.fastq.gz	NA11843	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188426/ERR188426_1.fastq.gz
ERR188426_2.fastq.gz	NA11843	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188426/ERR188426_2.fastq.gz
ERR188429_1.fastq.gz	NA12889	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188429/ERR188429_1.fastq.gz
ERR188429_2.fastq.gz	NA12889	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188429/ERR188429_2.fastq.gz
ERR188431_1.fastq.gz	NA12273	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188431/ERR188431_1.fastq.gz
ERR188431_2.fastq.gz	NA12273	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188431/ERR188431_2.fastq.gz
ERR188433_1.fastq.gz	NA11829	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188433/ERR188433_1.fastq.gz
ERR188433_2.fastq.gz	NA11829	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188433/ERR188433_2.fastq.gz
ERR188435_1.fastq.gz	NA11830	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188435/ERR188435_1.fastq.gz
