#FASTQ	SAMPLEID	DATASET	url
ERR188375_2.fastq.gz	NA18858	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188375/ERR188375_2.fastq.gz
ERR188390_1.fastq.gz	NA19235	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188390/ERR188390_1.fastq.gz
ERR188390_2.fastq.gz	NA19235	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188390/ERR188390_2.fastq.gz
ERR188392_1.fastq.gz	NA19210	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188392/ERR188392_1.fastq.gz
ERR188392_2.fastq.gz	NA19210	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188392/ERR188392_2.fastq.gz
ERR188409_1.fastq.gz	NA18923	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188409/ERR188409_1.fastq.gz
ERR188409_2.fastq.gz	NA18923	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188409/ERR188409_2.fastq.gz
ERR188421_1.fastq.gz	NA19225	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188421/ERR188421_1.fastq.gz
ERR188421_2.fastq.gz	NA19225	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188421/ERR188421_2.fastq.gz
ERR188422_1.fastq.gz	NA19172	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188422/ERR188422_1.fastq.gz
ERR188422_2.fastq.gz	NA19172	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188422/ERR188422_2.fastq.gz
ERR188423_1.fastq.gz	NA19107	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188423/ERR188423_1.fastq.gz
ERR188423_2.fastq.gz	NA19107	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188423/ERR188423_2.fastq.gz
ERR188427_1.fastq.gz	NA19159	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188427/ERR188427_1.fastq.gz
ERR188427_2.fastq.gz	NA19159	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188427/ERR188427_2.fastq.gz
ERR188434_1.fastq.gz	NA19209	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188434/ERR188434_1.fastq.gz
ERR188434_2.fastq.gz	NA19209	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188434/ERR188434_2.fastq.gz
ERR188440_1.fastq.gz	NA19200	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188440/ERR188440_1.fastq.gz
ERR188440_2.fastq.gz	NA19200	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188440/ERR188440_2.fastq.gz
ERR188442_1.fastq.gz	NA18910	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188442/ERR188442_1.fastq.gz
ERR188442_2.fastq.gz	NA18910	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188442/ERR188442_2.fastq.gz
ERR188444_1.fastq.gz	NA19129	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188444/ERR188444_1.fastq.gz
ERR188444_2.fastq.gz	NA19129	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188444/ERR188444_2.fastq.gz
ERR188447_1.fastq.gz	NA18934	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188447/ERR188447_1.fastq.gz
ERR188447_2.fastq.gz	NA18934	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188447/ERR188447_2.fastq.gz
ERR188449_1.fastq.gz	NA18499	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188449/ERR188449_1.fastq.gz
ERR188449_2.fastq.gz	NA18499	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188449/ERR188449_2.fastq.gz
ERR188451_1.fastq.gz	NA19149	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188451/ERR188451_1.fastq.gz
ERR188451_2.fastq.gz	NA19149	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188451/ERR188451_2.fastq.gz
ERR188454_1.fastq.gz	NA19207	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188454/ERR188454_1.fastq.gz
ERR188454_2.fastq.gz	NA19207	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188454/ERR188454_2.fastq.gz
ERR188459_1.fastq.gz	NA19143	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188459/ERR188459_1.fastq.gz
ERR188459_2.fastq.gz	NA19143	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188459/ERR188459_2.fastq.gz
ERR188460_1.fastq.gz	NA19153	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188460/ERR188460_1.fastq.gz
ERR188460_2.fastq.gz	NA19153	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188460/ERR188460_2.fastq.gz
ERR188463_1.fastq.gz	NA19247	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188463/ERR188463_1.fastq.gz
ERR188463_2.fastq.gz	NA19247	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188463/ERR188463_2.fastq.gz
ERR188471_1.fastq.gz	NA19130	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188471/ERR188471_1.fastq.gz
ERR188471_2.fastq.gz	NA19130	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188471/ERR188471_2.fastq.gz
ERR188476_1.fastq.gz	NA19093	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188476/ERR188476_1.fastq.gz
ERR188476_2.fastq.gz	NA19093	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188476/ERR188476_2.fastq.gz
